"","term","estimate","std.error","statistic","p.value","species"
"67","pt_kernel",-0.00718493864126045,0.00785161534476503,-0.915090503771422,0.361106680127692,"Cladonia"
"68","sdss_lcLichen",-0.414826858774889,0.226344839659247,-1.83272063723385,0.0691323059332466,"Blueberry"
"69","sdss_lcMixedWood",0.179278873288736,0.211121736329858,0.849172976716285,0.397346087198196,"Blueberry"
"70","sdss_lcRocky",-1.32415251488813,0.294232728463754,-4.50035766517814,1.48945200056598e-05,"Blueberry"
"71","sdss_lcWetland",-1.04966872479399,0.363577242821247,-2.88705837760605,0.0045555273800747,"Blueberry"
"72","cfs_lcConiferous",-0.84769218163125,0.600726557913789,-1.41111154561757,0.160600427455971,"Blueberry"
"73","cfs_lcMixedwood",-1.07583988817541,0.639578054110501,-1.68210882356125,0.0949483024281985,"Blueberry"
"74","cfs_lcShrubs",-0.436170535062747,0.579135793308835,-0.753140351713939,0.452727336180334,"Blueberry"
"75","cfs_lcWetland",-1.3093705034884,0.661142290188072,-1.9804670233936,0.0497623920459623,"Blueberry"
"76","dist_to_coast",-0.000154907727875489,0.00021310366970606,-0.726912530831388,0.468586496526079,"Blueberry"
"77","ndvi",-0.000432862785310303,0.000169353966228173,-2.55596485249776,0.011739875157254,"Blueberry"
"78","dem",0.00149709868680432,0.00450929705501599,0.332002675481093,0.740421920159381,"Blueberry"
"79","slope",-0.0927463189915936,0.0485429396519306,-1.91060367700466,0.0582575914157166,"Blueberry"
"80","cos(aspect)",0.406534236907483,0.159270366925578,2.55247881168908,0.0118522135085093,"Blueberry"
"81","TPI",0.464186159163353,0.278138839666333,1.66890089755249,0.0975436386544909,"Blueberry"
"82","terrain",0.0824191058285785,0.179681752359283,0.458694913347557,0.647219216348571,"Blueberry"
"83","pt_kernel",-0.241200260686391,0.0850435487120609,-2.83619703480441,0.00529699622121622,"Blueberry"
"84","sdss_lcConiferScrub",1.74738199067411,0.315784240024196,5.53346801138722,2.82215304208456e-07,"Alder"
"85","sdss_lcLichen",-0.685715640039057,1.20882031457874,-0.567260188937198,0.571889654468296,"Alder"
"86","sdss_lcMixedWood",1.51430286882269,0.337795543575298,4.48289771023915,2.07703150017131e-05,"Alder"
"87","sdss_lcRocky",2.57643504371402,0.52622259030623,4.89609357556218,4.05007335550536e-06,"Alder"
"88","sdss_lcWetland",1.26521242636449,0.306451026638552,4.12859581592058,7.89803716610839e-05,"Alder"
"89","cfs_lcMixedwood",0.104579430004182,0.163872304676342,0.638176354514164,0.52491058337215,"Alder"
"90","cfs_lcShrubs",1.02209707700939,0.382803283368271,2.67003215859593,0.00893668050791297,"Alder"
"91","cfs_lcWetland",-0.286804434444289,0.256785712151171,-1.11690184022173,0.266883038737708,"Alder"
"92","dist_to_coast",0.00141526939501422,0.000229284921112306,6.17253584818608,1.69130046957189e-08,"Alder"
"93","ndvi",0.000697373289941363,0.000193841736549415,3.59764260450477,0.000514460858780311,"Alder"
"94","dem",-0.0150253388173719,0.00398048940423139,-3.77474659306954,0.000280352960914099,"Alder"
"95","slope",-0.212346639319287,0.0543893252152329,-3.90419698128218,0.000177814326290495,"Alder"
"96","cos(aspect)",0.193188839141063,0.126285472641521,1.52977880274049,0.129429881368613,"Alder"
"97","TPI",-2.70364750624777,0.525803116683738,-5.14193891299045,1.47742385579856e-06,"Alder"
"98","terrain",0.635088972778636,0.215351545041199,2.94908017798125,0.00402134559585894,"Alder"
"99","pt_kernel",0.520185469398161,0.244358118998368,2.12878324456915,0.035886632066541,"Alder"
"100","sdss_lcWetland",-2.26852621087192,0.98165110588108,-2.31092920619267,0.0250863067715787,"Dwarf_birch"
"101","cfs_lcConiferous",2.06448820703324,0.532451043850077,3.87732962659857,0.000314544358578431,"Dwarf_birch"
"102","cfs_lcMixedwood",NA,NA,NA,NA,"Dwarf_birch"
"103","cfs_lcShrubs",1.44171250305817,0.589353917753461,2.44625930129351,0.0180707581242358,"Dwarf_birch"
"104","cfs_lcWetland",1.46944126923346,0.502550831740148,2.92396545070939,0.00522007570122621,"Dwarf_birch"
"105","dist_to_coast",0.00113659157050721,0.000474724779841324,2.39421159116048,0.0205272949385464,"Dwarf_birch"
"106","ndvi",-0.000555879783276015,0.000333545357086012,-1.66657928664457,0.101978705411357,"Dwarf_birch"
"107","dem",0.0279636522869833,0.00976045521869318,2.86499468113203,0.00612578051564836,"Dwarf_birch"
"108","slope",-0.166709167772537,0.103395348999905,-1.61234687425533,0.113309585453953,"Dwarf_birch"
"109","cos(aspect)",1.53715033539808,0.807580961682202,1.90340090756495,0.0628708553086964,"Dwarf_birch"
"110","TPI",-0.949085199187215,0.633579339048964,-1.4979737196163,0.140554970745597,"Dwarf_birch"
"111","terrain",NA,NA,NA,NA,"Dwarf_birch"
"112","pt_kernel",NA,NA,NA,NA,"Dwarf_birch"
"113","sdss_lcRocky",1.98614064806754,0.995024472528568,1.99607215993426,0.0503230344777747,"Deergrass"
"114","sdss_lcWetland",0.370856185315797,0.221900552256401,1.67127202498929,0.09970855006806,"Deergrass"
"115","cfs_lcConiferous",0.424145709613017,0.321112057310081,1.32086509976,0.191401000498766,"Deergrass"
"116","cfs_lcShrubs",0.399228399553466,0.330654481260781,1.20738844376527,0.231868577032258,"Deergrass"
"117","cfs_lcWetland",0.10582711522852,0.251673195401474,0.420494185166212,0.675578367409758,"Deergrass"
"118","dist_to_coast",0.000879891793037472,0.000414582316060868,2.12235727128382,0.0378094937621378,"Deergrass"
"119","ndvi",-0.000652758804112819,0.000262619679867401,-2.48556697823409,0.0156449888175689,"Deergrass"
"120","dem",-0.0261990732025397,0.0125653397431163,-2.08502704567876,0.0411910448716233,"Deergrass"
"121","slope",-0.0470762648854985,0.0465354450363231,-1.01162167566579,0.315650739946895,"Deergrass"
"122","cos(aspect)",0.122341576451983,0.105699653001034,1.15744539341852,0.251530134626928,"Deergrass"
"123","TPI",0.581974600807011,0.358220871870676,1.62462504702159,0.109315943034001,"Deergrass"
"124","terrain",0.225988293250823,0.243784040488797,0.927002000613767,0.357520149699638,"Deergrass"
"125","pt_kernel",0.0385736778839028,0.0466615386839494,0.826669650676808,0.411594509615828,"Deergrass"
"126","sdss_lcRocky",-0.716622370407559,0.468607455004376,-1.52925943186471,0.138276651997828,"graminoid_spp."
"127","sdss_lcWetland",-0.653144412841069,0.416121606998136,-1.56959985219896,0.128599720305992,"graminoid_spp."
"128","cfs_lcShrubs",2.68674835732937,0.605477991767296,4.43740052299369,0.000148376271624504,"graminoid_spp."
"129","dist_to_coast",0.000343848443770192,0.000235534955779649,1.45986162704391,0.156306471491313,"graminoid_spp."
"130","ndvi",0.00159130449097478,0.000357910089558124,4.44610123436142,0.000145012224279725,"graminoid_spp."
"131","dem",NA,NA,NA,NA,"graminoid_spp."
"132","slope",NA,NA,NA,NA,"graminoid_spp."
"133","cos(aspect)",NA,NA,NA,NA,"graminoid_spp."
"134","TPI",NA,NA,NA,NA,"graminoid_spp."
"135","terrain",NA,NA,NA,NA,"graminoid_spp."
"136","pt_kernel",NA,NA,NA,NA,"graminoid_spp."
"137","sdss_lcRocky",0.385,0.0647350368811202,5.94732031599853,1.84063733767499e-06,"Black_spruce"
"138","cfs_lcMixedwood",0.7225,0.0747495819386302,9.66560589720991,1.41957737178089e-10,"Black_spruce"
"139","dist_to_coast",NA,NA,NA,NA,"Black_spruce"
"140","ndvi",NA,NA,NA,NA,"Black_spruce"
"141","dem",NA,NA,NA,NA,"Black_spruce"
"142","slope",NA,NA,NA,NA,"Black_spruce"
"143","cos(aspect)",NA,NA,NA,NA,"Black_spruce"
"144","TPI",NA,NA,NA,NA,"Black_spruce"
"145","terrain",NA,NA,NA,NA,"Black_spruce"
"146","pt_kernel",NA,NA,NA,NA,"Black_spruce"
